image_path,label,captureSessionId,resolved_path,label_idx
fungal_mildew/13.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/13.jpg,4
fungal_mildew/14.png,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/14.png,4
fungal_mildew/15.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/15.jpg,4
fungal_mildew/16.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/16.jpg,4
fungal_mildew/17.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/17.jpg,4
fungal_mildew/18.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/18.jpg,4
fungal_mildew/19.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/19.jpg,4
fungal_mildew/20.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/20.jpg,4
fungal_mildew/21.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/21.jpg,4
fungal_mildew/22.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/22.jpg,4
fungal_mildew/23.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/23.jpg,4
fungal_mildew/24.jpg,fungal_mildew,fungal_mildew_s002,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/24.jpg,4
fungal_mildew/25.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/25.jpg,4
fungal_mildew/26.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/26.jpg,4
fungal_mildew/27.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/27.jpg,4
fungal_mildew/28.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/28.jpg,4
fungal_mildew/29.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/29.jpg,4
fungal_mildew/30.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/30.jpg,4
fungal_mildew/p01.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p01.jpg,4
fungal_mildew/p02.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p02.jpg,4
fungal_mildew/p03.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p03.jpg,4
fungal_mildew/p04.JPG,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p04.JPG,4
fungal_mildew/p05.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p05.jpg,4
fungal_mildew/p06.jpg,fungal_mildew,fungal_mildew_s003,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p06.jpg,4
fungal_mildew/p07.jpg,fungal_mildew,fungal_mildew_s004,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p07.jpg,4
fungal_mildew/p08.jpg,fungal_mildew,fungal_mildew_s004,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/p08.jpg,4
