image_path,label,resolved_path,exists,width,height,brightness,sharpness,file_hash,reasons,keep
fungal_mildew/01.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/01.jpg,True,500,315,0.5335984772326899,1761.6298828125,7dd7776cee2684c1a3c63afadb6a2e0c,[],True
fungal_mildew/02.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/02.jpg,True,500,382,0.4693778542911305,948.547119140625,951a1ed59921714c873eb132aba5f56f,[],True
fungal_mildew/03.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/03.jpg,True,640,467,0.4039496328316483,1986.3447265625,28f5c09e49ed2dde23a712173c30edd0,[],True
fungal_mildew/04.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/04.jpg,True,640,745,0.36404101801853556,539.6210327148438,c060d2719fbc56b52ed551eab66e235f,[],True
fungal_mildew/05.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/05.jpg,True,640,827,0.3281812480851716,1189.15478515625,c9d88c7e88497250422f635e80bc0ad3,[],True
fungal_mildew/06.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/06.jpg,True,640,480,0.44767758238549327,2939.5576171875,c6a7ffdb7b255d3e14d378834335eaa3,[],True
fungal_mildew/07.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/07.jpg,True,640,420,0.42992251527075676,1607.439208984375,37f6facce4b951fe67ddc77e5c15fee1,[],True
fungal_mildew/08.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/08.jpg,True,777,525,0.470460480334712,296.28564453125,3e36cf400ed027f93128410435c42573,[],True
fungal_mildew/09.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/09.jpg,True,200,200,0.7450519636565563,843.1433715820312,5dff16b75851a058b1153c396c05a33f,[],True
fungal_mildew/10.jpg,fungal_mildew,/mnt/e/shuaib/plantation/dataset/images/fungal_mildew/10.jpg,True,251,201,0.4610044890759038,1246.488525390625,903c83e1e9f3737ffed44aa1ea9097c9,[],True
